,state,state_abbreviation,county,fips,party,candidate,votes,fraction_votes
0,Alabama,AL,Autauga,1001.0,Democrat,Bernie Sanders,544,0.182
1,Alabama,AL,Autauga,1001.0,Democrat,Hillary Clinton,2387,0.8
2,Alabama,AL,Baldwin,1003.0,Democrat,Bernie Sanders,2694,0.3289999999999999
3,Alabama,AL,Baldwin,1003.0,Democrat,Hillary Clinton,5290,0.647
4,Alabama,AL,Barbour,1005.0,Democrat,Bernie Sanders,222,0.078
5,Alabama,AL,Barbour,1005.0,Democrat,Hillary Clinton,2567,0.906
6,Alabama,AL,Bibb,1007.0,Democrat,Bernie Sanders,246,0.1969999999999999
7,Alabama,AL,Bibb,1007.0,Democrat,Hillary Clinton,942,0.755
8,Alabama,AL,Blount,1009.0,Democrat,Bernie Sanders,395,0.386
9,Alabama,AL,Blount,1009.0,Democrat,Hillary Clinton,564,0.551
10,Alabama,AL,Bullock,1011.0,Democrat,Bernie Sanders,178,0.066
11,Alabama,AL,Bullock,1011.0,Democrat,Hillary Clinton,2451,0.913
12,Alabama,AL,Butler,1013.0,Democrat,Bernie Sanders,156,0.065
13,Alabama,AL,Butler,1013.0,Democrat,Hillary Clinton,2196,0.921
14,Alabama,AL,Calhoun,1015.0,Democrat,Bernie Sanders,1425,0.218
15,Alabama,AL,Calhoun,1015.0,Democrat,Hillary Clinton,5011,0.765
16,Alabama,AL,Chambers,1017.0,Democrat,Bernie Sanders,312,0.095
17,Alabama,AL,Chambers,1017.0,Democrat,Hillary Clinton,2899,0.8859999999999999
18,Alabama,AL,Cherokee,1019.0,Democrat,Bernie Sanders,268,0.249
19,Alabama,AL,Cherokee,1019.0,Democrat,Hillary Clinton,712,0.6609999999999999
20,Alabama,AL,Chilton,1021.0,Democrat,Bernie Sanders,289,0.246
21,Alabama,AL,Chilton,1021.0,Democrat,Hillary Clinton,860,0.731
22,Alabama,AL,Choctaw,1023.0,Democrat,Bernie Sanders,273,0.124
23,Alabama,AL,Choctaw,1023.0,Democrat,Hillary Clinton,1772,0.802
24,Alabama,AL,Clarke,1025.0,Democrat,Bernie Sanders,213,0.063
25,Alabama,AL,Clarke,1025.0,Democrat,Hillary Clinton,3148,0.93
26,Alabama,AL,Clay,1027.0,Democrat,Bernie Sanders,135,0.1369999999999999
27,Alabama,AL,Clay,1027.0,Democrat,Hillary Clinton,807,0.818
28,Alabama,AL,Cleburne,1029.0,Democrat,Bernie Sanders,72,0.238
29,Alabama,AL,Cleburne,1029.0,Democrat,Hillary Clinton,221,0.732
30,Alabama,AL,Coffee,1031.0,Democrat,Bernie Sanders,389,0.201
31,Alabama,AL,Coffee,1031.0,Democrat,Hillary Clinton,1493,0.772
32,Alabama,AL,Colbert,1033.0,Democrat,Bernie Sanders,1342,0.225
33,Alabama,AL,Colbert,1033.0,Democrat,Hillary Clinton,3879,0.65
34,Alabama,AL,Conecuh,1035.0,Democrat,Bernie Sanders,544,0.191
35,Alabama,AL,Conecuh,1035.0,Democrat,Hillary Clinton,2031,0.7140000000000001
36,Alabama,AL,Coosa,1037.0,Democrat,Bernie Sanders,125,0.108
37,Alabama,AL,Coosa,1037.0,Democrat,Hillary Clinton,1012,0.877
38,Alabama,AL,Covington,1039.0,Democrat,Bernie Sanders,188,0.1969999999999999
39,Alabama,AL,Covington,1039.0,Democrat,Hillary Clinton,737,0.773
40,Alabama,AL,Crenshaw,1041.0,Democrat,Bernie Sanders,107,0.103
41,Alabama,AL,Crenshaw,1041.0,Democrat,Hillary Clinton,908,0.878
42,Alabama,AL,Cullman,1043.0,Democrat,Bernie Sanders,723,0.345
43,Alabama,AL,Cullman,1043.0,Democrat,Hillary Clinton,1275,0.608
44,Alabama,AL,Dale,1045.0,Democrat,Bernie Sanders,415,0.207
45,Alabama,AL,Dale,1045.0,Democrat,Hillary Clinton,1544,0.77
46,Alabama,AL,Dallas,1047.0,Democrat,Bernie Sanders,1774,0.154
47,Alabama,AL,Dallas,1047.0,Democrat,Hillary Clinton,8577,0.7440000000000001
48,Alabama,AL,DeKalb,1049.0,Democrat,Bernie Sanders,667,0.3229999999999999
49,Alabama,AL,DeKalb,1049.0,Democrat,Hillary Clinton,1297,0.629
50,Alabama,AL,Elmore,1051.0,Democrat,Bernie Sanders,694,0.184
51,Alabama,AL,Elmore,1051.0,Democrat,Hillary Clinton,3019,0.8009999999999999
52,Alabama,AL,Escambia,1053.0,Democrat,Bernie Sanders,226,0.099
53,Alabama,AL,Escambia,1053.0,Democrat,Hillary Clinton,2027,0.885
54,Alabama,AL,Etowah,1055.0,Democrat,Bernie Sanders,1289,0.226
55,Alabama,AL,Etowah,1055.0,Democrat,Hillary Clinton,4262,0.746
56,Alabama,AL,Fayette,1057.0,Democrat,Bernie Sanders,148,0.172
57,Alabama,AL,Fayette,1057.0,Democrat,Hillary Clinton,660,0.767
58,Alabama,AL,Franklin,1059.0,Democrat,Bernie Sanders,767,0.301
59,Alabama,AL,Franklin,1059.0,Democrat,Hillary Clinton,1233,0.484
60,Alabama,AL,Geneva,1061.0,Democrat,Bernie Sanders,157,0.216
61,Alabama,AL,Geneva,1061.0,Democrat,Hillary Clinton,544,0.7490000000000001
62,Alabama,AL,Greene,1063.0,Democrat,Bernie Sanders,213,0.071
63,Alabama,AL,Greene,1063.0,Democrat,Hillary Clinton,2714,0.901
64,Alabama,AL,Hale,1065.0,Democrat,Bernie Sanders,427,0.14
65,Alabama,AL,Hale,1065.0,Democrat,Hillary Clinton,2426,0.7959999999999999
66,Alabama,AL,Henry,1067.0,Democrat,Bernie Sanders,163,0.119
67,Alabama,AL,Henry,1067.0,Democrat,Hillary Clinton,1170,0.856
68,Alabama,AL,Houston,1069.0,Democrat,Bernie Sanders,780,0.201
69,Alabama,AL,Houston,1069.0,Democrat,Hillary Clinton,3044,0.7829999999999999
70,Alabama,AL,Jackson,1071.0,Democrat,Bernie Sanders,510,0.2689999999999999
71,Alabama,AL,Jackson,1071.0,Democrat,Hillary Clinton,1327,0.7
72,Alabama,AL,Jefferson,1073.0,Democrat,Bernie Sanders,14319,0.174
73,Alabama,AL,Jefferson,1073.0,Democrat,Hillary Clinton,67357,0.816
74,Alabama,AL,Lamar,1075.0,Democrat,Bernie Sanders,173,0.241
75,Alabama,AL,Lamar,1075.0,Democrat,Hillary Clinton,442,0.616
76,Alabama,AL,Lauderdale,1077.0,Democrat,Bernie Sanders,1745,0.309
77,Alabama,AL,Lauderdale,1077.0,Democrat,Hillary Clinton,3676,0.652
78,Alabama,AL,Lawrence,1079.0,Democrat,Bernie Sanders,428,0.162
79,Alabama,AL,Lawrence,1079.0,Democrat,Hillary Clinton,2047,0.777
80,Alabama,AL,Lee,1081.0,Democrat,Bernie Sanders,2464,0.254
81,Alabama,AL,Lee,1081.0,Democrat,Hillary Clinton,7137,0.736
82,Alabama,AL,Limestone,1083.0,Democrat,Bernie Sanders,1120,0.255
83,Alabama,AL,Limestone,1083.0,Democrat,Hillary Clinton,3199,0.728
84,Alabama,AL,Lowndes,1085.0,Democrat,Bernie Sanders,330,0.077
85,Alabama,AL,Lowndes,1085.0,Democrat,Hillary Clinton,3782,0.887
86,Alabama,AL,Macon,1087.0,Democrat,Bernie Sanders,483,0.1
87,Alabama,AL,Macon,1087.0,Democrat,Hillary Clinton,4293,0.892
88,Alabama,AL,Madison,1089.0,Democrat,Bernie Sanders,8786,0.301
89,Alabama,AL,Madison,1089.0,Democrat,Hillary Clinton,19995,0.6859999999999999
90,Alabama,AL,Marengo,1091.0,Democrat,Bernie Sanders,1092,0.2
91,Alabama,AL,Marengo,1091.0,Democrat,Hillary Clinton,3590,0.6579999999999999
92,Alabama,AL,Marion,1093.0,Democrat,Bernie Sanders,256,0.296
93,Alabama,AL,Marion,1093.0,Democrat,Hillary Clinton,567,0.655
94,Alabama,AL,Marshall,1095.0,Democrat,Bernie Sanders,821,0.341
95,Alabama,AL,Marshall,1095.0,Democrat,Hillary Clinton,1494,0.621
96,Alabama,AL,Mobile,1097.0,Democrat,Bernie Sanders,5672,0.162
97,Alabama,AL,Mobile,1097.0,Democrat,Hillary Clinton,28927,0.8270000000000001
98,Alabama,AL,Monroe,1099.0,Democrat,Bernie Sanders,205,0.076
99,Alabama,AL,Monroe,1099.0,Democrat,Hillary Clinton,2438,0.909
100,Alabama,AL,Montgomery,1101.0,Democrat,Bernie Sanders,4266,0.128
101,Alabama,AL,Montgomery,1101.0,Democrat,Hillary Clinton,28650,0.862
102,Alabama,AL,Morgan,1103.0,Democrat,Bernie Sanders,1345,0.252
103,Alabama,AL,Morgan,1103.0,Democrat,Hillary Clinton,3897,0.731
104,Alabama,AL,Perry,1105.0,Democrat,Bernie Sanders,389,0.124
105,Alabama,AL,Perry,1105.0,Democrat,Hillary Clinton,2575,0.82
106,Alabama,AL,Pickens,1107.0,Democrat,Bernie Sanders,453,0.148
107,Alabama,AL,Pickens,1107.0,Democrat,Hillary Clinton,2326,0.762
108,Alabama,AL,Pike,1109.0,Democrat,Bernie Sanders,379,0.145
109,Alabama,AL,Pike,1109.0,Democrat,Hillary Clinton,2183,0.8370000000000001
110,Alabama,AL,Randolph,1111.0,Democrat,Bernie Sanders,328,0.187
111,Alabama,AL,Randolph,1111.0,Democrat,Hillary Clinton,1236,0.706
112,Alabama,AL,Russell,1113.0,Democrat,Bernie Sanders,988,0.1639999999999999
113,Alabama,AL,Russell,1113.0,Democrat,Hillary Clinton,4381,0.728
114,Alabama,AL,Shelby,1117.0,Democrat,Bernie Sanders,3755,0.354
115,Alabama,AL,Shelby,1117.0,Democrat,Hillary Clinton,6657,0.628
116,Alabama,AL,St. Clair,1115.0,Democrat,Bernie Sanders,745,0.286
117,Alabama,AL,St. Clair,1115.0,Democrat,Hillary Clinton,1808,0.693
118,Alabama,AL,Sumter,1119.0,Democrat,Bernie Sanders,416,0.113
119,Alabama,AL,Sumter,1119.0,Democrat,Hillary Clinton,2987,0.809
120,Alabama,AL,Talladega,1121.0,Democrat,Bernie Sanders,782,0.122
121,Alabama,AL,Talladega,1121.0,Democrat,Hillary Clinton,5561,0.865
122,Alabama,AL,Tallapoosa,1123.0,Democrat,Bernie Sanders,308,0.102
123,Alabama,AL,Tallapoosa,1123.0,Democrat,Hillary Clinton,2658,0.88
124,Alabama,AL,Tuscaloosa,1125.0,Democrat,Bernie Sanders,3444,0.218
125,Alabama,AL,Tuscaloosa,1125.0,Democrat,Hillary Clinton,12136,0.767
126,Alabama,AL,Walker,1127.0,Democrat,Bernie Sanders,727,0.275
127,Alabama,AL,Walker,1127.0,Democrat,Hillary Clinton,1772,0.6709999999999999
128,Alabama,AL,Washington,1129.0,Democrat,Bernie Sanders,562,0.214
129,Alabama,AL,Washington,1129.0,Democrat,Hillary Clinton,1511,0.575
130,Alabama,AL,Wilcox,1131.0,Democrat,Bernie Sanders,410,0.104
131,Alabama,AL,Wilcox,1131.0,Democrat,Hillary Clinton,3337,0.843
132,Alabama,AL,Winston,1133.0,Democrat,Bernie Sanders,138,0.304
133,Alabama,AL,Winston,1133.0,Democrat,Hillary Clinton,303,0.667
134,Alabama,AL,Autauga,1001.0,Republican,Ben Carson,1764,0.146
135,Alabama,AL,Autauga,1001.0,Republican,Donald Trump,5387,0.445
136,Alabama,AL,Autauga,1001.0,Republican,John Kasich,421,0.035
137,Alabama,AL,Autauga,1001.0,Republican,Marco Rubio,1785,0.148
138,Alabama,AL,Autauga,1001.0,Republican,Ted Cruz,2482,0.205
139,Alabama,AL,Baldwin,1003.0,Republican,Ben Carson,4221,0.084
140,Alabama,AL,Baldwin,1003.0,Republican,Donald Trump,23618,0.469
141,Alabama,AL,Baldwin,1003.0,Republican,John Kasich,2987,0.059
142,Alabama,AL,Baldwin,1003.0,Republican,Marco Rubio,9703,0.193
143,Alabama,AL,Baldwin,1003.0,Republican,Ted Cruz,8571,0.17
144,Alabama,AL,Barbour,1005.0,Republican,Ben Carson,417,0.122
145,Alabama,AL,Barbour,1005.0,Republican,Donald Trump,1710,0.501
146,Alabama,AL,Barbour,1005.0,Republican,John Kasich,123,0.036
147,Alabama,AL,Barbour,1005.0,Republican,Marco Rubio,498,0.146
148,Alabama,AL,Barbour,1005.0,Republican,Ted Cruz,609,0.179
149,Alabama,AL,Bibb,1007.0,Republican,Ben Carson,393,0.099
150,Alabama,AL,Bibb,1007.0,Republican,Donald Trump,1959,0.494
151,Alabama,AL,Bibb,1007.0,Republican,John Kasich,84,0.021
152,Alabama,AL,Bibb,1007.0,Republican,Marco Rubio,444,0.1119999999999999
153,Alabama,AL,Bibb,1007.0,Republican,Ted Cruz,1011,0.255
154,Alabama,AL,Blount,1009.0,Republican,Ben Carson,1523,0.1
155,Alabama,AL,Blount,1009.0,Republican,Donald Trump,7390,0.487
156,Alabama,AL,Blount,1009.0,Republican,John Kasich,337,0.022
157,Alabama,AL,Blount,1009.0,Republican,Marco Rubio,1843,0.122
158,Alabama,AL,Blount,1009.0,Republican,Ted Cruz,3698,0.244
159,Alabama,AL,Bullock,1011.0,Republican,Ben Carson,47,0.085
160,Alabama,AL,Bullock,1011.0,Republican,Donald Trump,313,0.565
161,Alabama,AL,Bullock,1011.0,Republican,John Kasich,23,0.042
162,Alabama,AL,Bullock,1011.0,Republican,Marco Rubio,64,0.1159999999999999
163,Alabama,AL,Bullock,1011.0,Republican,Ted Cruz,94,0.17
164,Alabama,AL,Butler,1013.0,Republican,Ben Carson,377,0.118
165,Alabama,AL,Butler,1013.0,Republican,Donald Trump,1720,0.5379999999999999
166,Alabama,AL,Butler,1013.0,Republican,John Kasich,86,0.027
167,Alabama,AL,Butler,1013.0,Republican,Marco Rubio,427,0.133
168,Alabama,AL,Butler,1013.0,Republican,Ted Cruz,534,0.1669999999999999
169,Alabama,AL,Calhoun,1015.0,Republican,Ben Carson,2350,0.118
170,Alabama,AL,Calhoun,1015.0,Republican,Donald Trump,8960,0.451
171,Alabama,AL,Calhoun,1015.0,Republican,John Kasich,957,0.048
172,Alabama,AL,Calhoun,1015.0,Republican,Marco Rubio,3251,0.163
173,Alabama,AL,Calhoun,1015.0,Republican,Ted Cruz,3859,0.1939999999999999
174,Alabama,AL,Chambers,1017.0,Republican,Ben Carson,595,0.131
175,Alabama,AL,Chambers,1017.0,Republican,Donald Trump,2169,0.476
176,Alabama,AL,Chambers,1017.0,Republican,John Kasich,168,0.037
177,Alabama,AL,Chambers,1017.0,Republican,Marco Rubio,595,0.131
178,Alabama,AL,Chambers,1017.0,Republican,Ted Cruz,914,0.2
179,Alabama,AL,Cherokee,1019.0,Republican,Ben Carson,534,0.1
180,Alabama,AL,Cherokee,1019.0,Republican,Donald Trump,2777,0.521
181,Alabama,AL,Cherokee,1019.0,Republican,John Kasich,151,0.0279999999999999
182,Alabama,AL,Cherokee,1019.0,Republican,Marco Rubio,810,0.152
183,Alabama,AL,Cherokee,1019.0,Republican,Ted Cruz,921,0.173
184,Alabama,AL,Chilton,1021.0,Republican,Ben Carson,1149,0.108
185,Alabama,AL,Chilton,1021.0,Republican,Donald Trump,5273,0.493
186,Alabama,AL,Chilton,1021.0,Republican,John Kasich,218,0.02
187,Alabama,AL,Chilton,1021.0,Republican,Marco Rubio,1436,0.134
188,Alabama,AL,Chilton,1021.0,Republican,Ted Cruz,2328,0.218
189,Alabama,AL,Choctaw,1023.0,Republican,Ben Carson,169,0.079
190,Alabama,AL,Choctaw,1023.0,Republican,Donald Trump,1070,0.499
